survey_name,sov_a3,full_name
afghanistan__i,AFG,"Afghanistan, Islamic Republic of"
albania__repub,ALB,"Albania, Republic of"
algeria__peopl,DZA,"Algeria, People's Democratic Republic of"
american_samoa,ASM,American Samoa
andorra__princ,AND,"Andorra, Principality of"
angola__republ,AGO,"Angola, Republic of"
anguilla,AIA,Anguilla
antigua_and_ba,ATG,Antigua and Barbuda
argentina__arg,ARG,"Argentina, Argentine Republic"
armenia__repub,ARM,"Armenia, Republic of"
armenia__repub_1,ARM,"Armenia, Republic of"
aruba,ABW,Aruba
australia__com,AUS,"Australia, Commonwealth of"
austria__repub,AUT,"Austria, Republic of"
azerbaijan__re,AZE,"Azerbaijan, Republic of"
azerbaijan__re_1,AZE,"Azerbaijan, Republic of"
bahamas__commo,BHS,"Bahamas, Commonwealth of the"
bahrain__kingd,BHR,"Bahrain, Kingdom of"
bangladesh__pe,BGD,"Bangladesh, People's Republic of"
barbados,BRB,Barbados
belarus__repub,BLR,"Belarus, Republic of"
belgium__kingd,BEL,"Belgium, Kingdom of"
belize,BLZ,Belize
benin__republi,BEN,"Benin, Republic of"
bermuda,BMU,Bermuda
bhutan__kingdo,BTN,"Bhutan, Kingdom of"
bolivia__repub,BOL,"Bolivia, Republic of"
bonaire__sint_,BES,"Bonaire, Sint Eustatius and Saba"
bosnia_and_her,BIH,Bosnia and Herzegovina
botswana__repu,BWA,"Botswana, Republic of"
bouvet_island_,BVT,Bouvet Island (Bouvetoya)
brazil__federa,BRA,"Brazil, Federative Republic of"
british_indian,IOT,British Indian Ocean Territory (Chagos Archipelago)
british_virgin,VGB,British Virgin Islands
brunei_darussa,BRN,Brunei Darussalam
bulgaria__repu,BGR,"Bulgaria, Republic of"
burkina_faso,BFA,Burkina Faso
burundi__repub,BDI,"Burundi, Republic of"
cambodia__king,KHM,"Cambodia, Kingdom of"
cameroon__repu,CMR,"Cameroon, Republic of"
canada,CAN,Canada
cape_verde__re,CPV,"Cape Verde, Republic of"
cayman_islands,CYM,Cayman Islands
central_africa,CAF,Central African Republic
chad__republic,TCD,"Chad, Republic of"
chile__republi,CHL,"Chile, Republic of"
china__people_,CHN,"China, People's Republic of"
christmas_isla,CXR,Christmas Island
cocos__keeling,CCK,Cocos (Keeling) Islands
colombia__repu,COL,"Colombia, Republic of"
comoros__union,COM,"Comoros, Union of the"
congo__democra,COD,"Congo, Democratic Republic of the"
congo__republi,COG,"Congo, Republic of the"
cook_islands,COK,Cook Islands
costa_rica__re,CRI,"Costa Rica, Republic of"
cote_d_ivoire_,CIV,"Cote d'Ivoire, Republic of"
croatia__repub,HRV,"Croatia, Republic of"
cuba__republic,CUB,"Cuba, Republic of"
cura_ao,CUW,Curaçao
cyprus__republ,CYP,"Cyprus, Republic of"
cyprus__republ_1,CYP,"Cyprus, Republic of"
czech_republic,CZE,Czech Republic
denmark__kingd,DNK,"Denmark, Kingdom of"
disputed_terri,null,Disputed Territory
djibouti__repu,DJI,"Djibouti, Republic of"
dominica__comm,DMA,"Dominica, Commonwealth of"
dominican_repu,DOM,Dominican Republic
ecuador__repub,ECU,"Ecuador, Republic of"
egypt__arab_re,EGY,"Egypt, Arab Republic of"
el_salvador__r,SLV,"El Salvador, Republic of"
